"image_name","plot","subsample","pedigree","height","tapRoot","leafNum","flw","dlw","frw","drw","spr","pop","whole_Eccentricity","whole_EquivDiameter","whole_EulerNumber","whole_Perimeter","whole_Solidity","whole_BoundingBox","whole_BoundingBox.1","whole_BoundingBox.2","whole_BoundingBox.3","top_Eccentricity","top_EquivDiameter","top_EulerNumber","top_Perimeter","top_Solidity","top_BoundingBox","top_BoundingBox.1","top_BoundingBox.2","top_BoundingBox.3","bottom_Eccentricity","bottom_EquivDiameter","bottom_EulerNumber","bottom_Perimeter","bottom_Solidity","bottom_BoundingBox","bottom_BoundingBox.1","bottom_BoundingBox.2","bottom_BoundingBox.3","Petiole_Width","Petiole_Count","Petiole_Length","rootBio","shootBio","S_PC1","S_PC2","S_PC3","R_PC1","R_PC2","R_PC3"
"50085_rep3_14.14.52.NEF",50085,3,"L6038A x P0159B",45,31,"7",3.39249294103201,1.63119940421561,4.8088454541069,2.69124308278583,0,"diallel",0.59336,1267.5,-342,512.795275590551,0.21938,339.5,1492.5,57.6968503937008,67.7755905511811,0.89735,1173.6,-94,441.614173228346,0.32964,339.5,1492.5,57.6968503937008,32.6377952755906,0.99558,467.02,1,68.0531496062992,0.7052,1788.5,0.5,4.29133858267717,31.2204724409449,0.454942913385827,7.1642,24.8073661417323,12.0511600088208,13.8764532468391,-5361.04904360745,-3631.94268448211,-7052.21605156081,-1.98771385012529,1.96971577601612,1.66584192000842
"50086_rep1_18.21.43.NEF",50086,1,"P6139A x P0159B",64,34,"11",4.58057006911986,3.02819946369149,5.86649638514395,3.94603788401542,0,"diallel",0.90718,1859.8,-327,530.157480314961,0.39414,443.5,312.5,50.4133858267717,93.7204724409449,0.82015,1734.4,-111,452.5,0.50102,443.5,312.5,50.4133858267717,55.8661417322835,0.98842,645.55,1,78.5118110236221,0.85426,1821.5,0.5,6.87007874015748,33.9370078740157,0.455681102362205,14.1921,38.1188031496063,12.6986446816184,14.6690322954978,-17984.0488634395,-24383.2787537605,7115.91217490877,-2.72870454499548,1.71527048747664,0.0953279336246366
"50086_rep2_18.22.28.NEF",50086,2,"P6139A x P0159B",61,27,"10",4.38838140031189,2.8160073426073,5.65578199860102,3.70868208141012,1,"diallel",0.76667,1751.5,-384,502.716535433071,0.30756,360.5,454.5,60.6496062992126,84.1141732283465,0.55416,1643.3,-96,434.586614173228,0.378,360.5,454.5,60.6496062992126,53.0708661417323,0.96922,576.21,1,69.1692913385827,0.70492,1698.5,0.5,8.68110236220472,27.1259842519685,0.489173228346457,13.1409,33.418938976378,12.4713825672862,14.5585002059712,-5089.75837602625,-28512.6955041019,14986.0761450693,-5.85339018746472,3.18097109270386,0.329289843735825
"50086_rep3_18.23.27.NEF",50086,3,"P6139A x P0159B",47,27,"5",2.88480071284671,0.959350221334602,4.08479914937857,1.92424865227413,0,"diallel",0.85744,915.03,-90,548.681102362205,0.17967,850.5,875.5,37.6771653543307,71.1220472440945,0.55032,841.2,-20,496.102362204724,0.22406,850.5,875.5,37.6771653543307,44.7834645669291,0.98349,329.45,1,48.751968503937,0.70992,1888.5,0.5,3.40551181102362,22.4212598425197,0.421712598425197,6.0371,24.9573090551181,11.3532612803375,13.2182115942589,8245.8843489202,-2715.84832938003,-3985.16107514483,-6.88798679011977,-0.503368225377623,-1.83933259445487
"50089_rep1_17.44.36.NEF",50089,1,"Nbh2189B",42,29,"8",2.6475922320651,0.27763173659828,4.6188758330442,2.43886271128659,0,"diallel",0.73045,898.57,-181,966.811023622047,0.11488,362.5,1263.5,58.996062992126,60.3740157480315,0.63453,722.56,-35,707.854330708661,0.14216,362.5,1263.5,52.1259842519685,37.1456692913386,0.97137,405.86,1,63.0334645669291,0.34725,1915.5,0.5,11.6732283464567,19.3110236220472,0.263659448818898,7.9031,24.6127007874016,11.7704317949119,13.082717773998,10224.9624947049,-481.216814862728,-3086.79393013763,-0.424577607802576,-0.111743680068335,-1.44740847886628
"50089_rep2_17.46.00.NEF",50089,2,"Nbh2189B",45,18,"8",2.79606107842492,0.506817602368452,4.81502584297537,2.67965072658051,1,"diallel",0.84006,985.56,-183,575.01968503937,0.15053,566.5,900.5,55.492125984252,65.492125984252,0.63274,882.81,-39,508.818897637795,0.17999,566.5,900.5,55.492125984252,44.2913385826772,0.96081,417.99,1,62.990157480315,0.54865,1876.5,0.5,10.1574803149606,17.2834645669291,0.336427165354331,5.8386,30.3647066929134,11.8293699060897,13.3034024454944,8240.53471120822,-4129.3636800773,-3127.81711824386,-1.58843835593244,1.02918215934335,-0.660794820985975
"50089_rep3_17.47.10.NEF",50089,3,"Nbh2189B",35,29.5,"10",2.53686638871871,0.615185639090233,4.48266351149529,2.2321626286975,0,"diallel",0.40652,999.66,-232,743.740157480315,0.17208,887.5,1678.5,51.9685039370079,56.9291338582677,0.79526,866.07,-72,494.586614173228,0.27551,887.5,1678.5,48.0708661417323,28.9763779527559,0.9843,372.66,1,61.2637795275591,0.38545,1791.5,0.5,6.18110236220472,24.0354330708661,0.290738188976378,8.7998,21.3612263779528,11.5997909979918,13.3878734578309,2968.88231933727,5282.91559564892,-3352.3029085255,-6.53041319068319,-0.7270248731242,-1.65554498951834
"50090_rep1_17.52.53.NEF",50090,1,"(P.S.C. x P0159B) x Nbh2189B",60,29,"6",3.74242022104197,1.96009478404727,5.71022832213959,3.64440496401211,0,"diallel",0.75046,1343.8,-150,840.944881889764,0.17977,317.5,351.5,63.996062992126,84.9212598425197,0.77057,1198.2,-76,770.334645669291,0.2031,317.5,351.5,63.996062992126,55.0984251968504,0.98093,577.53,1,66.3031496062992,0.7293,1881.5,0.5,9.84251968503937,25.9055118110236,0.533818897637795,7.7742,33.5802559055118,12.4759700033299,13.9306126698204,10010.2046415894,-12710.3935046588,12091.2824770398,1.56763674986044,0.262067776388378,-0.703938374167906
"50090_rep2_17.53.36.NEF",50090,2,"(P.S.C. x P0159B) x Nbh2189B",38,23,"6",2.68239045432163,0.854415328156068,4.56746831880408,2.61447185414264,1,"diallel",0.93245,974.13,-177,434.606299212598,0.25629,1171.5,1289.5,30.0196850393701,63.6614173228347,0.4252,828.9,-56,341.633858267717,0.30954,1171.5,1289.5,30.0196850393701,36.6338582677165,0.96639,499.2,1,89.0767716535433,0.66718,1836.5,0.5,6.63385826771654,23.1102362204724,0.389761811023622,6.8809,13.7506791338583,12.1844403454031,13.1796865554477,6561.67482489742,10019.4193270545,2082.25027889661,3.78930623297143,-1.42222601539701,1.51736989029487
"50090_rep3_18.00.32.NEF",50090,3,"(P.S.C. x P0159B) x Nbh2189B",52,25,"21",4.74109870321234,3.08145114895653,5.97388594483369,4.07719840338713,1,"diallel",0.6077,2200.2,-616,928.503937007874,0.35966,146.5,631.5,70.6299212598425,80.9645669291339,0.71516,2037.3,-201,785.05905511811,0.52622,146.5,631.5,70.6299212598425,49.5866141732283,0.31828,805.32,-11,127.486220472441,0.35891,1078.5,0.5,27.4606299212598,27.4606299212598,0.526606299212598,16.8333,18.0197657480315,13.1409044249296,14.9936404934086,-41724.8335973987,-29909.869081333,2651.78192031732,-0.935293714031696,-2.03463028527967,0.858640567646774
"50091_rep1_16.03.31.NEF",50091,1,"(S.C. x Nbh2189B) x Nbh2189B",37,20.5,"6",2.3494686788929,0.27763173659828,4.92978670623294,2.7434173449395,0,"diallel",0.57587,819.08,-113,614.114173228347,0.14056,487.5,1601.5,51.9094488188976,52.0472440944882,0.83899,687.82,-23,571.515748031496,0.14581,487.5,1601.5,51.9094488188976,30.492125984252,0.97492,387.57,1,41.3188976377953,0.8407,1895.5,0.5,4.98031496062992,17.6377952755906,0.362086614173228,7.2833,24.397125984252,11.6782364929308,12.8070031065998,12491.6198974019,2594.75150071102,-1585.00454055612,-2.24751213586848,0.725944646750078,-0.194831890526969
"50091_rep2_16.04.14.NEF",50091,2,"(S.C. x Nbh2189B) x Nbh2189B",41,19,"5",2.2628042229822,0.139761942375159,4.20558774103808,2.04122032885964,0,"diallel",0.41022,809.62,-142,566.791338582677,0.10969,574.5,1350.5,54.4291338582677,55.7874015748032,0.87267,721.54,-38,526.870078740158,0.11823,574.5,1350.5,54.4291338582677,35.4330708661417,0.98658,337.43,1,36.3484251968504,0.94428,1942.5,0.5,3.38582677165354,16.4370078740157,0.374759842519685,6.6012,30.2179212598425,11.4011555641272,12.8981467505504,12826.898886809,-2929.56879325017,-2222.07830165113,3.06313955875149,0.281667929645669,-0.109171304853614
"50091_rep3_16.04.56.NEF",50091,3,"(S.C. x Nbh2189B) x Nbh2189B",42,17,"7",2.79606107842492,0.815364813284194,4.75874927391639,2.53765721517353,0,"diallel",0.46847,950.27,-138,719.291338582677,0.14916,655.5,1366.5,55.1181102362205,54.5275590551181,0.76488,848.78,-33,680.826771653543,0.16104,655.5,1366.5,55.1181102362205,35.1181102362205,0.97327,376.37,1,36.6692913385827,0.88898,1917.5,0.5,4.60629921259843,15.492125984252,0.400663385826772,6.4681,24.7534665354331,11.6195981193973,13.233289178095,7447.2332974134,-295.936780555369,-3834.01900752761,-0.0194872506801111,1.63809339674871,-0.447794943058102
"50092_rep1_18.25.17.NEF",50092,1,"L6038A x Nbh2189B",41.5,25,"7",2.22245904851476,-0.0618754037180875,4.46533324080029,2.29253475714054,0,"diallel",0.73748,854.03,-193,632.854330708661,0.11301,563.5,1338.5,52.5590551181102,63.2283464566929,0.78526,742.58,-48,576.889763779528,0.13111,563.5,1338.5,52.5590551181102,35.6692913385827,0.99427,399.95,1,51.1791338582677,0.84876,1893.5,0.5,3.62204724409449,23.6417322834646,0.304265748031496,6.4525,24.5192342519685,11.7411202373599,12.9510339848043,11384.5948159361,-1241.64402658885,-2812.01377003282,-0.948769824720563,3.1750154059168,0.111038135197503
"50092_rep2_18.26.12.NEF",50092,2,"L6038A x Nbh2189B",51,20.5,"8",3.41641434746702,1.52605630349505,4.6498567036105,2.58550584834412,0,"diallel",0.7201,1325.5,-238,660.866141732283,0.26829,495.5,799.5,51.1811023622047,70.5905511811024,0.65906,1252.6,-68,612.637795275591,0.33677,495.5,799.5,51.1811023622047,46.2795275590551,0.98852,415.11,1,45.1692913385827,0.91279,1904.5,0.5,3.87795275590551,20.3937007874016,0.451064960629921,8.9742,32.9270374015748,11.8155158541551,14.0138055245251,1188.68764837368,-19251.6256877813,1381.20872234651,2.53514906681958,1.47040098725837,-1.00982316640673
"50092_rep3_18.27.19.NEF",50092,3,"L6038A x Nbh2189B",55,27,"10",3.60114053980593,1.58514521986506,4.67934958416234,2.48740352998659,0,"diallel",0.6642,1263,-243,821.043307086614,0.1615,427.5,638.5,66.9685039370079,75.4527559055118,0.80599,1186,-58,896.574803149606,0.18566,427.5,638.5,66.9685039370079,49.4488188976378,0.97973,399.03,1,60.4094488188976,0.48977,1900.5,0.5,6.75196850393701,22.0866141732283,0.484417322834646,9.3339,33.6862283464567,11.7365329086697,13.902829804224,8285.88881668382,-11772.235097186,10293.6099651996,-5.4913991595034,0.165568050934055,1.89980332252198
"50093_rep1_17.34.48.NEF",50093,1,"P6139A x Nbh2189B",59,28.5,"6",2.96733279903229,1.1314021114911,4.86081964885856,2.75874331541773,0,"diallel",0.88863,968.78,-129,693.543307086614,0.12646,604.5,550.5,55.5708661417323,78.5629921259843,0.63239,858.17,-29,634.88188976378,0.1552,604.5,550.5,55.5708661417323,51.1811023622047,0.98102,415.12,1,55.7027559055118,0.53182,1830.5,0.5,6.71259842519685,23.4645669291339,0.430338582677165,6.8568,32.9153484251969,11.8155823530967,13.257278811801,11365.2975206551,-2862.31123042183,551.020780046198,-4.78674488505071,-0.43564920790445,0.49917253813528
"50093_rep2_17.37.52.NEF",50093,2,"P6139A x Nbh2189B",58,22.5,"10",3.54269694393586,1.74221902366792,5.13255789805306,3.05163990549229,0,"diallel",0.81737,1377.2,-363,673.188976377953,0.23182,512.5,505.5,58.7795275590551,78.740157480315,0.74005,1285.7,-104,618.858267716535,0.27851,512.5,505.5,58.7795275590551,52.0669291338583,0.98313,477.78,1,51.740157480315,0.84681,1863.5,0.5,5.49212598425197,22.755905511811,0.526407480314961,9.5313,33.0046220472441,12.0967431527817,14.0622182805403,2524.36219647283,-16402.2272768072,4901.87506380073,-2.13731935919145,2.29601199815852,-1.45408671710867
"50093_rep3_17.38.47.NEF",50093,3,"P6139A x Nbh2189B",62,32,"7",3.34849959266171,1.36353737399727,4.99396375980828,2.797890905102,0,"diallel",0.74194,1154.3,-230,1082.04724409449,0.13558,357.5,418.5,62.5196850393701,86.7716535433071,0.5467,1044.1,-52,1014.33070866142,0.15679,357.5,418.5,62.5196850393701,53.7795275590551,0.98706,467.83,1,64.5433070866142,0.58473,1908.5,0.5,4.98031496062992,29.0748031496063,0.483120078740157,6.6147,34.7436122047244,12.0546391042696,13.6470800719498,12134.9672308127,-5411.11521979421,5963.81971347792,-4.26325006373036,-0.550069471762054,0.309103037594917
"50096_rep1_15.52.02.NEF",50096,1,"L6038B",33,21.5,"6",2.71403227277976,0.524728528934982,4.22916678802955,1.93296963777958,0,"diallel",0.61152,1107.3,-259,495.590551181102,0.28171,745.5,1451.5,40.8070866141732,56.751968503937,0.79715,1041.5,-66,447.125984251969,0.38704,745.5,1451.5,40.8070866141732,33.4448818897638,0.99217,358.66,1,44.6318897637795,0.76376,1930.5,0.5,3.38582677165354,19.3897637795276,0.409661417322835,6.4033,23.1498996062992,11.523192577326,13.636185307757,-3971.11079176624,6724.49009967833,-6710.20915201371,1.33210384829104,2.5867272779112,-0.0664412464618349
"50096_rep2_15.52.49.NEF",50096,2,"L6038B",30,26.5,"4",1.94304891677428,-1.17118298150295,4.41763506214125,2.05412373369555,0,"diallel",0.79314,759.29,-103,404.88188976378,0.17692,1588.5,1820.5,34.9015748031496,51.4566929133858,0.83119,630.03,-30,352.48031496063,0.21031,1588.5,1820.5,34.9015748031496,26.1811023622047,0.9922,389.79,1,48.0885826771654,0.76152,1870.5,0.5,5,21.3582677165354,0.336159448818898,5.6606,22.6193366141732,11.6896564234509,12.6331883455982,12326.0824793821,4311.30964278697,-2108.22160274911,2.61292919598484,1.55034621358332,-0.931005127651016
"50096_rep3_15.53.37.NEF",50096,3,"L6038B",28,24.5,"5",1.9154509415706,-0.99425227334387,4.16122409106165,1.80664808172181,0,"diallel",0.78252,786.63,-142,296.397637795276,0.19767,935.5,2002.5,34.3110236220472,49.3110236220472,0.87034,680.77,-37,243.267716535433,0.2755,935.5,2002.5,34.3110236220472,22.5984251968504,0.99454,366.36,1,49.0492125984252,0.80582,1929.5,0.5,2.93307086614173,22.7952755905512,0.343525590551181,6.5288,17.5824822834646,11.5656791924061,12.785236126308,10498.1621366808,7275.07122632964,-748.531132190094,1.57160524216458,0.589297889728135,-0.824872398889821
"50097_rep1_18.02.48.NEF",50097,1,"(P.S.C. x P0159B) x L6038B",44,28,"6",2.99272776453369,1.24126858906963,4.59582667098494,2.42833629829961,0,"diallel",0.76023,1120.2,-146,506.574803149606,0.22915,1124.5,1016.5,42.5393700787402,72.5196850393701,0.72127,1032.9,-43,444.094488188976,0.3069,1124.5,1016.5,42.5393700787402,42.007874015748,0.99195,408,1,59.0196850393701,0.58511,1900.5,0.5,5.23622047244095,26.5944881889764,0.418374015748032,6.0259,24.2867972440945,11.7809811945868,13.6294435958886,3.97394924128021,-3619.62439032837,-8052.06757087405,-3.20399859292587,0.332133826982809,0.452734032316282
"50097_rep2_18.03.27.NEF",50097,2,"(P.S.C. x P0159B) x L6038B",50,47,"9",3.67351197698281,1.9823798288367,5.98637662555904,3.86995022900624,0,"diallel",0.80634,1564,-352,711.496062992126,0.22354,669.5,717.5,62.992125984252,85.9448818897638,0.79795,1407.2,-96,602.57874015748,0.34451,669.5,717.5,62.992125984252,47.8937007874016,0.98594,662.91,1,106.055118110236,0.3688,1524.5,0.5,14.8622047244094,34.1338582677165,0.50251968503937,9.2455,31.4837224409449,12.7517025134224,14.2453150455516,-4621.81665065306,-20474.3020043288,2193.80829806224,-0.739608669649695,2.11462577863098,-0.655069256534073
"50097_rep3_18.05.44.NEF",50097,3,"(P.S.C. x P0159B) x L6038B",41,31,"13",3.2051824977362,1.41827740697294,4.78457081435438,2.61227324570844,0,"diallel",0.81253,1263.2,-376,568.228346456693,0.28961,845.5,1128.5,42.4409448818898,73.1692913385827,0.57446,1165.5,-99,499.389763779528,0.38568,845.5,1128.5,42.4409448818898,39.8031496062992,0.98334,471.6,1,67.4212598425197,0.55517,1879.5,0.5,8.09055118110236,29.4488188976378,0.431517716535433,10.0688,21.9513051181102,12.0706995580263,13.8601138742677,-6276.14128901851,2231.08226230103,-6491.22544847479,-1.08608006723104,2.08209779776117,-0.396821454105509
"50098_rep1_14.52.29.NEF",50098,1,"(S.C. x Nbh2189B) x L6038B",42,38.5,"8",3.19908119754002,1.30019166206648,5.41039526995339,3.19088778832803,0,"diallel",0.7178,1182.5,-418,709.094488188976,0.15191,526.5,1175.5,63.4251968503937,72.5196850393701,0.77074,1049.3,-78,631.555118110236,0.19674,526.5,1175.5,63.4251968503937,38.8779527559055,0.98819,522.21,1,74.3838582677165,0.47665,1519.5,0.5,11.1220472440945,29.7244094488189,0.357316929133858,8.6744,32.4125688976378,12.2745907376606,13.6418866665775,3519.51300722144,-8158.73971998785,-3905.85956080995,-1.23754731091691,0.0645573652640507,0.485522928773247
"50098_rep2_14.53.24.NEF",50098,2,"(S.C. x Nbh2189B) x L6038B",43.5,37,"5",2.6658383522929,0.285178942233662,4.57285358451155,2.16561923792089,0,"diallel",0.67379,939.96,-125,632.775590551181,0.12468,668.5,1240.5,54.0944881889764,74.7834645669291,0.86075,818.48,-20,556.948818897638,0.16291,668.5,1240.5,54.0944881889764,37.5984251968504,0.9963,438.86,1,70.0708661417323,0.81011,1883.5,0.5,3.95669291338583,33.2677165354331,0.345785433070866,6.0078,30.8448858267717,11.9267753226128,13.1591522899721,11171.0085931458,-3242.11956447525,-176.359073851763,-1.02898783945206,-0.778557323302691,1.35874402408325
"50098_rep3_14.54.22.NEF",50098,3,"(S.C. x Nbh2189B) x L6038B",45,35,"4",2.63332665490627,0.451075619360217,NA,2.38508631450579,0,"diallel",0.44561,967.24,-129,632.362204724409,0.15505,253.5,1240.5,55.6102362204724,64.488188976378,0.89777,868.75,-38,577.40157480315,0.1979,253.5,1240.5,55.6102362204724,37.5984251968504,0.98777,393.24,1,50.753937007874,0.79836,1874.5,0.5,3.89763779527559,22.9724409448819,0.342748031496063,6.4824,34.3849409448819,11.7072826356485,13.2800882336749,10540.387819941,-4739.72072435082,-405.063749323805,-2.0132274292243,-0.922839569319832,1.04003249878779
"50099_rep2_18.29.40.NEF",50099,2,"L6038A x L6038B",40,29.5,"7",2.84141491316963,0.774727167552368,4.58384439927334,2.42036812865043,0,"diallel",0.61704,1066,-206,651.476377952756,0.15446,672.5,1139.5,58.2086614173228,72.5393700787402,0.8509,962.26,-59,584.625984251969,0.20194,672.5,1139.5,58.2086614173228,39.5866141732283,0.99599,444.27,1,62.5984251968504,0.76201,1914.5,0.5,4.7244094488189,29.0354330708661,0.39892125984252,7.1748,24.8299921259843,11.9513223213134,13.4792738935937,5487.11968438566,-1249.39788828802,-243.387300771391,0.391296037788391,2.74094014502661,-1.21633003115201
"50099_rep3_18.31.14.NEF",50099,3,"L6038A x L6038B",43.5,35.5,"7",3.5034530823665,1.67147330335355,4.71956972629659,2.68375750853317,0,"diallel",0.74519,1339.7,-179,596.594488188976,0.21847,454.5,1086.5,59.5866141732283,80.1181102362205,0.78776,1236.2,-71,612.066929133858,0.33439,454.5,1086.5,59.5866141732283,40.6299212598425,0.99663,497.72,1,76.505905511811,0.69219,1901.5,0.5,7.34251968503937,35.5708661417323,0.479862204724409,6.4674,25.6323484251969,12.178511297049,13.9910961456381,-6189.25360479563,-9774.64411498009,-8231.32239173631,0.703959381394048,1.68269147083909,-1.34386156114393
"50100_rep1_17.21.44.NEF",50100,1,"P6139A x L6038B",41,35.5,"6",3.00617753141553,1.06471073699243,4.77903945596706,2.42921774392741,0,"diallel",0.39189,1189.4,-335,839.311023622047,0.17283,485.5,1377.5,61.8307086614173,70.4133858267717,0.91142,1098,-101,766.811023622047,0.24501,485.5,1377.5,61.8307086614173,34.9015748031496,0.99259,454.12,1,68.742125984252,0.72688,1894.5,0.5,5.90551181102362,31.5944881889764,0.40453937007874,5.8196,25.0116456692913,11.9951602378785,13.7376095552026,988.81342357464,-5097.55570106256,-2273.8703537134,-2.96349945762648,-1.89181659689757,-0.190333343921796
"50100_rep2_17.23.15.NEF",50100,2,"P6139A x L6038B",32.5,28,"5",2.46470394247048,0.322083499169113,4.44041346037361,2.23751309625033,0,"diallel",0.82935,934.81,-202,568.641732283465,0.18555,911.5,1593.5,43.0511811023622,62.4015748031496,0.72695,823.45,-56,534.645669291339,0.26069,911.5,1593.5,43.0511811023622,30.6496062992126,0.99502,428.42,1,59.0905511811024,0.78775,1931.5,0.5,3.87795275590551,27.8346456692913,0.358301181102362,6.4636,18.8614921259843,11.878665199272,13.1692813138582,6327.31999818027,6911.38687651439,-1807.20409520939,3.54278289693188,-0.0636083070639293,-1.1439095132942
"50100_rep3_17.24.10.NEF",50100,3,"P6139A x L6038B",43.5,25.5,"6",3.03399098567108,1.05779029414785,4.47813195281737,2.22245904851476,0,"diallel",0.5973,1145.3,-403,1069.37007874016,0.14902,172.5,1064.5,64.7637795275591,69.5275590551181,0.80167,1069.2,-111,1011.47637795276,0.19213,172.5,1064.5,64.7637795275591,41.0629921259843,0.99374,413.08,1,53.7814960629921,0.8862,1868.5,0.5,3.54330708661417,24.5472440944882,0.404350393700787,7.0938,32.5943149606299,11.8057070129667,13.6812817793655,3255.43624111687,-8201.34295084204,-2397.69674859371,0.542752041868769,0.77909408716376,-1.58757966749084
"50104_rep1_14.28.23.NEF",50104,1,"(P.S.C. x P0159B) x P6139B",47.5,34,"7",3.8286413964891,1.99741770620125,5.4570717189089,3.30944752305259,0,"diallel",0.75785,1403.2,-135,582.5,0.25659,987.5,640.5,50.1181102362205,80.3740157480315,0.68965,1283.9,-44,520.314960629921,0.31031,987.5,640.5,50.1181102362205,49.4094488188976,0.98884,516.53,1,61.5,0.78506,1856.5,0.5,4.84251968503937,27.0472440944882,0.458106299212598,8.647,30.4586476377953,12.252698564648,14.0686423338682,-3697.11109790918,-14026.4994676028,-965.798447019033,0.371457760122809,0.886926137350016,-0.61867060978087
"50107_rep1_16.12.46.NEF",50107,1,"P6139A x P6139B",35,21,"9",3.00667221359233,1.17865499634165,5.01807422319325,2.98467132619457,0,"diallel",0.75868,1120,-332,444.645669291339,0.26565,716.5,1595.5,48.1102362204724,54.0157480314961,0.74861,1021.6,-87,398.011811023622,0.3496,716.5,1595.5,48.1102362204724,30.6102362204724,0.98133,427.4,1,44.6732283464567,0.86392,1758.5,0.5,4.70472440944882,19.488188976378,0.412061023622047,8.9647,16.8167755905512,11.8738951731918,13.5929118581915,119.161726078832,8684.55255178325,736.863746502153,-0.163476189876303,1.16467412194656,-0.333703212011326
"50107_rep2_16.13.54.NEF",50107,2,"P6139A x P6139B",51,24,"7",3.47444784340175,1.66770682055808,5.08394771178519,2.97246364661464,0,"diallel",0.75332,1278.3,-255,513.956692913386,0.27894,906.5,1008.5,51.1417322834646,68.9566929133858,0.69561,1174.1,-72,460.275590551181,0.34853,906.5,1008.5,51.1417322834646,42.1653543307087,0.98734,479.93,1,51.8562992125984,0.82929,1759.5,0.5,5.23622047244095,22.8740157480315,0.470275590551181,7.9654,22.7155807086614,12.1057273105813,13.882135026999,-4084.16245292317,857.579198267449,-1182.31706795507,2.80124254366516,2.98419321710762,-0.448186189976829
"50109_rep1_15.49.14.NEF",50109,1,"L7550A x P6139B",32,32.5,"6",2.37304355664261,0.457424847038875,4.0516110196352,1.83098018238134,0,"diallel",0.73462,929.6,-133,461.476377952756,0.20243,1103.5,1585.5,42.1653543307087,58.6811023622047,0.90371,852.34,-41,403.543307086614,0.30288,1103.5,1585.5,42.1653543307087,30.8070866141732,0.99285,334.78,1,54.6240157480315,0.43048,1892.5,0.5,5.74803149606299,23.9566929133858,0.37415157480315,7.2734,20.7459586614173,11.3853875043677,13.2406902651464,4705.31750266862,5749.21990999814,-3451.1780240461,-2.12576852919291,-1.07353754394936,-0.838287356670485
"50111_rep1_17.30.36.NEF",50111,1,"(P.S.C. x P0159B) x 7262B",42.5,27,"6",2.97501923195645,1.19088756477728,2.94233149682688,0.883767540168595,0,"diallel",0.72956,951.77,-94,495.216535433071,0.2153,781.5,1192.5,41.6141732283465,58.503937007874,0.75618,914.38,-27,453.287401574803,0.29134,781.5,1192.5,41.6141732283465,38.5433070866142,0.99158,236.32,1,37.2027559055118,0.46773,1934.5,0.5,4.56692913385827,16.0433070866142,0.415265748031496,6.5493,22.3446850393701,10.6888264190855,13.3865705580428,4286.68663738651,2509.22365677947,-3148.06775516837,-3.82703367040173,-1.13696420332193,-0.865320484683196
"50111_rep2_17.31.30.NEF",50111,2,"(P.S.C. x P0159B) x 7262B",50,30.5,"6",3.11662159082944,1.35583515363518,3.54240755021368,1.56024766824333,0,"diallel",0.55561,1129.9,-127,602.53937007874,0.18546,737.5,1021.5,54.7244094488189,70.255905511811,0.82775,1082.1,-37,600.07874015748,0.25909,737.5,1021.5,54.7244094488189,41.9094488188976,0.99393,294.87,1,52.0157480314961,0.62508,1902.5,0.5,3.03149606299213,24.4291338582677,0.452377952755906,6.8038,32.696718503937,11.1314746906929,13.7256963476135,4296.08470819832,-9362.94752079243,-378.392897717506,-8.31885747968255,2.53863705284873,1.06995208621766
"50111_rep3_17.32.29.NEF",50111,3,"(P.S.C. x P0159B) x 7262B",46,39,"15",4.42688049030751,2.74662968306969,6.06341304642057,4.07482189573324,0,"diallel",0.93369,1556.7,-295,511.673228346457,0.41079,1107.5,949.5,34.9409448818898,82.5393700787402,0.72831,1390.1,-77,420.787401574803,0.51996,1107.5,949.5,34.9409448818898,43.3267716535433,0.98411,673.41,1,91.8011811023622,0.62689,1855.5,0.5,8.12992125984252,35.2952755905512,0.412842519685039,13.2941,22.5891909448819,12.7831550009642,14.2221915932,-16254.4403753121,5397.18963006109,-1622.72569476497,-3.24222620973607,0.664115929819669,-0.401349228001096
"50113_rep1_17.25.39.NEF",50113,1,"L6038A x 7262B",48.5,36,"9",3.34427423426253,1.57069708411767,5.50170708937539,3.48615108754232,0,"diallel",0.82834,1325.1,-417,1093.64173228346,0.1799,501.5,712.5,56.5354330708661,85.2952755905512,0.5819,1188.6,-108,1011.77165354331,0.22603,501.5,712.5,56.5354330708661,47.992125984252,0.9919,578.78,0,79.4429133858268,0.67545,1832.5,0.5,5.98425196850394,33.3858267716535,0.436080708661417,9.0591,30.0823484251969,12.4802932678573,13.8963105173119,-1442.1001829339,-9680.07914741626,-2400.16358811052,-0.669322260465545,0.862372357920535,0.184013903187126
"50113_rep2_17.26.46.NEF",50113,2,"L6038A x 7262B",55,43,"10",4.09384443718042,2.41858876875035,5.74642680770849,3.84993481311472,0,"diallel",0.68901,1704.6,-486,752.086614173228,0.26348,300.5,480.5,67.8149606299213,89.5472440944882,0.73043,1579.1,-178,757.066929133858,0.33273,300.5,480.5,67.8149606299213,52.5590551181102,0.98772,633.97,0,76.988188976378,0.77368,1880.5,0.5,6.25984251968504,33.0708661417323,0.567242125984252,9.2518,32.1689547244095,12.6624399715655,14.4748522167203,-8051.68170423991,-29095.7590925706,6251.34144985534,-0.648494780462452,1.35441815279294,-1.38351024989638
